recommended_structure,roof_area,region,installation_cost,payback_period
Rainwater Barrel,24.69,Delhi NCR,3468.72,7.03
Recharge Pit,19.06,Delhi NCR,4858.92,10.62
Infiltration Trench,34.6,Gujarat,10919.99,15.03
Recharge Pit,41.15,Delhi NCR,8173.04,8.27
Rainwater Barrel,24.07,Gujarat,3406.73,9.44
Cistern,49.81,Delhi NCR,17453.27,11.68
Cistern,45.59,Maharashtra,16397.02,7.99
Infiltration Trench,23.89,West Bengal,8778.5,7.0
Recharge Well,58.27,Karnataka,25480.89,10.93
Infiltration Trench,59.17,Karnataka,15833.4,7.65
Recharge Well,93.11,Punjab,35934.47,13.78
Recharge Pit,77.94,Maharashtra,13690.31,4.88
Recharge Pit,21.09,Delhi NCR,5163.17,10.2
Rainwater Barrel,52.59,Tamil Nadu,6258.82,5.29
Recharge Well,51.41,Gujarat,23422.72,18.98
Rainwater Barrel,27.82,Maharashtra,3782.01,4.53
Cistern,41.57,Delhi NCR,15393.37,12.34
Recharge Well,12.95,Karnataka,11885.36,22.94
Infiltration Trench,12.77,Karnataka,6554.53,14.66
Cistern,14.05,Gujarat,8512.7,26.93
Cistern,40.23,Tamil Nadu,15057.66,11.09
Infiltration Trench,41.19,Delhi NCR,12238.49,10.61
Cistern,28.88,Delhi NCR,12219.34,14.1
Recharge Well,78.3,Tamil Nadu,31490.87,11.17
Rainwater Barrel,54.25,Tamil Nadu,6424.65,5.26
Cistern,14.89,Tamil Nadu,8723.07,17.36
Recharge Well,30.39,Karnataka,17116.08,14.08
Recharge Pit,20.7,Gujarat,5105.07,13.7
Recharge Well,40.73,Maharashtra,20219.4,10.34
Rainwater Barrel,32.61,West Bengal,4261.3,3.48
Recharge Well,21.3,Tamil Nadu,14388.75,18.77
Infiltration Trench,77.26,Gujarat,19452.93,11.99
Rainwater Barrel,34.08,Punjab,4407.96,7.39
Recharge Pit,26.9,Delhi NCR,6034.41,9.35
Infiltration Trench,29.18,Delhi NCR,9835.69,12.04
Recharge Well,74.39,West Bengal,30317.28,6.79
Rainwater Barrel,52.23,West Bengal,6222.9,3.18
Recharge Pit,30.53,Rajasthan,6580.03,14.37
Infiltration Trench,20.17,Punjab,8033.03,16.26
Recharge Pit,21.8,Maharashtra,5269.98,6.72
Recharge Well,26.02,West Bengal,15806.49,10.12
Recharge Pit,42.67,Tamil Nadu,8401.06,7.29
Cistern,48.34,Tamil Nadu,17085.08,10.47
Infiltration Trench,23.04,Maharashtra,8607.99,8.9
Recharge Pit,49.42,Karnataka,9413.18,6.35
Recharge Well,21.02,Punjab,14307.37,24.3
Recharge Well,24.39,Tamil Nadu,15316.56,17.45
Recharge Pit,16.04,West Bengal,4406.37,6.1
Recharge Well,15.81,Rajasthan,12741.59,40.31
Rainwater Barrel,20.91,Gujarat,3091.12,9.85
Rainwater Barrel,32.69,Delhi NCR,4269.21,6.53
Rainwater Barrel,20.15,Punjab,3014.61,8.55
Cistern,70.04,Delhi NCR,22509.57,10.71
Recharge Pit,20.78,Gujarat,5116.25,13.68
Cistern,36.31,Punjab,14076.41,14.77
Recharge Well,64.08,West Bengal,27223.79,7.08
Cistern,34.68,Gujarat,13670.81,17.52
Recharge Well,27.61,Tamil Nadu,16281.87,16.38
Recharge Well,35.64,Maharashtra,18692.38,10.93
Infiltration Trench,25.01,Tamil Nadu,9001.28,11.43
Rainwater Barrel,20.08,West Bengal,3007.74,3.99
Recharge Well,44.99,Maharashtra,21495.82,9.95
Infiltration Trench,24.74,Tamil Nadu,8948.11,11.48
Rainwater Barrel,52.9,Gujarat,6289.86,7.93
Recharge Well,49.31,Gujarat,22793.07,19.26
Recharge Well,35.99,Gujarat,18796.11,21.76
Cistern,53.81,Delhi NCR,18452.28,11.43
Cistern,25.23,West Bengal,11307.1,7.97
Rainwater Barrel,49.0,Gujarat,5900.33,8.03
Recharge Well,48.88,Tamil Nadu,22662.8,12.88
Recharge Pit,28.48,Rajasthan,6272.37,14.68
Cistern,26.71,West Bengal,11678.18,7.77
Rainwater Barrel,39.04,Gujarat,4903.72,8.37
Recharge Well,88.6,Rajasthan,34579.74,19.51
Recharge Well,29.49,Maharashtra,16845.51,11.9
Recharge Pit,26.43,Tamil Nadu,5964.95,8.36
Rainwater Barrel,59.69,Gujarat,6969.2,7.78
Recharge Well,34.26,Delhi NCR,18278.9,16.67
Cistern,51.06,Delhi NCR,17765.12,11.6
Recharge Pit,69.22,Maharashtra,12383.27,4.97
Rainwater Barrel,12.76,Rajasthan,2276.22,14.27
Recharge Pit,32.5,Karnataka,6874.85,7.05
Cistern,29.52,Delhi NCR,12380.22,13.98
Rainwater Barrel,20.47,West Bengal,3046.74,3.97
Recharge Pit,12.69,Delhi NCR,3903.25,12.82
Infiltration Trench,14.94,Delhi NCR,6988.62,16.7
Cistern,34.89,Tamil Nadu,13722.36,11.65
Cistern,25.36,Delhi NCR,11338.79,14.91
Cistern,22.18,Punjab,10544.4,18.11
Infiltration Trench,34.72,Gujarat,10943.29,15.01
Infiltration Trench,23.43,Maharashtra,8685.57,8.83
Recharge Well,63.12,Delhi NCR,26937.0,13.34
Recharge Pit,24.28,Karnataka,5641.65,7.75
Recharge Well,70.29,West Bengal,29087.66,6.9
Recharge Pit,32.62,Karnataka,6893.33,7.04
Infiltration Trench,23.9,Delhi NCR,8780.82,13.12
Infiltration Trench,23.05,Delhi NCR,8610.24,13.34
Recharge Well,70.59,Punjab,29177.18,14.76
Rainwater Barrel,46.9,Delhi NCR,5689.53,6.07
Recharge Well,22.65,Delhi NCR,14795.89,20.41
Recharge Pit,35.15,Gujarat,7272.04,11.49
Recharge Well,10.18,Karnataka,11054.72,27.14
Cistern,17.02,Punjab,9254.19,20.72
Recharge Pit,22.76,Karnataka,5413.49,7.93
Recharge Pit,22.48,Punjab,5371.88,11.38
Rainwater Barrel,60.73,Karnataka,7073.42,4.66
Infiltration Trench,12.72,Delhi NCR,6543.32,18.38
Recharge Pit,16.22,Karnataka,4432.64,9.11
Infiltration Trench,41.52,Karnataka,12304.18,8.47
Recharge Well,37.16,Punjab,19146.92,18.4
Cistern,27.8,Maharashtra,11950.55,9.55
Rainwater Barrel,92.41,Rajasthan,10241.09,8.87
Infiltration Trench,45.09,Punjab,13018.39,11.78
Recharge Pit,61.03,Punjab,11154.93,8.7
Infiltration Trench,32.28,Punjab,10456.98,13.22
Recharge Pit,25.23,Tamil Nadu,5785.16,8.49
Infiltration Trench,25.38,Maharashtra,9075.87,8.51
Recharge Pit,52.66,Tamil Nadu,9898.81,6.96
Recharge Well,48.73,Tamil Nadu,22620.16,12.89
Recharge Pit,29.69,Punjab,6452.99,10.35
Recharge Pit,41.92,Rajasthan,8288.18,13.18
Cistern,53.59,Punjab,18396.78,13.08
Recharge Pit,24.98,Delhi NCR,5746.85,9.59
Cistern,27.89,Rajasthan,11972.74,22.89
Rainwater Barrel,41.4,Tamil Nadu,5140.16,5.52
Cistern,13.54,West Bengal,8385.07,11.01
Recharge Well,41.8,Karnataka,20538.74,12.29
Cistern,18.87,Karnataka,9717.04,13.73
Rainwater Barrel,53.03,Maharashtra,6302.84,3.96
Recharge Well,96.92,West Bengal,37076.19,6.38
Infiltration Trench,23.37,Gujarat,8673.83,17.67
Infiltration Trench,16.86,Maharashtra,7372.79,10.41
Cistern,30.27,Rajasthan,12566.66,22.14
Cistern,29.0,Tamil Nadu,12250.54,12.52
Rainwater Barrel,46.08,Rajasthan,5607.92,9.74
Rainwater Barrel,37.23,Rajasthan,4722.69,10.15
Recharge Pit,28.56,Karnataka,6283.26,7.33
Rainwater Barrel,34.65,Punjab,4465.03,7.36
Recharge Pit,18.9,Delhi NCR,4834.32,10.66
Recharge Well,50.13,Gujarat,23038.82,19.15
Cistern,74.36,Tamil Nadu,23591.16,9.4
Recharge Well,18.2,Rajasthan,13458.8,36.98
Rainwater Barrel,15.03,Gujarat,2503.49,11.1
Recharge Well,27.08,Rajasthan,16125.3,29.77
Recharge Well,17.98,West Bengal,13394.03,12.42
Recharge Well,17.49,Karnataka,13248.37,18.93
Rainwater Barrel,16.43,Delhi NCR,2642.81,8.04
Recharge Well,30.06,Karnataka,17018.03,14.15
Recharge Pit,26.96,Gujarat,6043.74,12.45
Rainwater Barrel,39.91,Tamil Nadu,4991.01,5.56
Recharge Well,24.99,Rajasthan,15497.13,31.01
Rainwater Barrel,18.02,Delhi NCR,2802.35,7.77
Infiltration Trench,32.84,West Bengal,10567.42,6.13
Recharge Pit,19.51,Karnataka,4925.9,8.42
Recharge Well,42.78,West Bengal,20834.19,8.12
Infiltration Trench,14.4,Gujarat,6879.02,22.76
Infiltration Trench,11.22,Karnataka,6243.68,15.9
Rainwater Barrel,14.81,Rajasthan,2480.72,13.4
Infiltration Trench,26.87,Rajasthan,9373.09,19.94
Recharge Pit,28.69,West Bengal,6303.01,4.88
Recharge Pit,35.46,Tamil Nadu,7319.35,7.64
Cistern,24.97,Delhi NCR,11242.34,15.01
Recharge Pit,21.69,Punjab,5253.16,11.53
Infiltration Trench,67.81,Karnataka,17561.02,7.4
Recharge Pit,59.41,Rajasthan,10911.32,12.24
Rainwater Barrel,54.22,Gujarat,6422.28,7.9
Cistern,38.65,Karnataka,14661.55,10.12
Infiltration Trench,40.22,Tamil Nadu,12043.11,9.51
Cistern,22.14,Tamil Nadu,10535.08,14.1
Infiltration Trench,35.59,Rajasthan,11118.81,17.85
Rainwater Barrel,20.7,Rajasthan,3069.86,11.86
Cistern,19.56,West Bengal,9889.4,8.99
Recharge Well,14.75,Rajasthan,12425.05,42.12
Infiltration Trench,40.57,West Bengal,12114.06,5.69
Recharge Well,35.94,Maharashtra,18781.84,10.89
Cistern,28.46,Punjab,12115.41,16.22
Recharge Well,26.66,Rajasthan,15997.46,30.0
Recharge Well,13.26,Karnataka,11978.77,22.58
Cistern,37.64,Karnataka,14411.25,10.21
Rainwater Barrel,28.28,West Bengal,3828.21,3.61
Recharge Well,51.83,Maharashtra,23549.46,9.47
Recharge Well,35.63,Maharashtra,18688.12,10.93
Rainwater Barrel,47.13,Delhi NCR,5712.92,6.06
Recharge Well,33.0,Gujarat,17898.74,22.6
Recharge Well,36.26,Rajasthan,18879.35,26.03
Recharge Well,52.75,West Bengal,23824.99,7.53
Recharge Pit,30.08,Karnataka,6511.75,7.22
Rainwater Barrel,41.93,Maharashtra,5192.69,4.13
Recharge Well,26.53,Karnataka,15958.69,15.04
Rainwater Barrel,31.01,Karnataka,4101.42,5.29
Infiltration Trench,73.46,Maharashtra,18692.31,6.06
Infiltration Trench,45.62,Punjab,13123.15,11.74
Recharge Well,25.26,Maharashtra,15578.37,12.85
Rainwater Barrel,40.91,Maharashtra,5091.35,4.15
Rainwater Barrel,17.46,Gujarat,2746.17,10.48
Rainwater Barrel,29.65,West Bengal,3964.83,3.57
Recharge Pit,20.56,West Bengal,5083.82,5.5
Infiltration Trench,41.51,Maharashtra,12302.16,7.06
Rainwater Barrel,30.13,Tamil Nadu,4013.04,5.92
Rainwater Barrel,38.16,West Bengal,4815.81,3.37
Recharge Pit,48.77,West Bengal,9315.31,4.24
Recharge Pit,26.31,West Bengal,5946.28,5.02
Rainwater Barrel,26.78,Maharashtra,3678.27,4.58
Cistern,32.51,Karnataka,13126.96,10.77
Rainwater Barrel,21.54,Rajasthan,3153.66,11.71
Rainwater Barrel,32.93,Karnataka,4293.03,5.21
Recharge Pit,33.81,Gujarat,7071.63,11.62
Recharge Pit,37.13,Tamil Nadu,7569.75,7.55
Rainwater Barrel,40.84,Maharashtra,5084.46,4.15
Rainwater Barrel,14.86,Punjab,2485.66,9.56
Rainwater Barrel,17.42,Delhi NCR,2741.69,7.87
Recharge Pit,18.47,Maharashtra,4771.22,7.17
Rainwater Barrel,34.68,Rajasthan,4468.49,10.31
Rainwater Barrel,28.73,Delhi NCR,3872.63,6.74
Recharge Well,10.66,Punjab,11196.85,37.53
Cistern,87.66,Gujarat,26916.24,13.65
Infiltration Trench,12.25,Gujarat,6449.97,25.07
Cistern,33.62,Punjab,13405.76,15.19
Recharge Well,43.89,Karnataka,21167.0,12.06
Infiltration Trench,23.11,Punjab,8621.27,15.23
Rainwater Barrel,45.6,West Bengal,5560.33,3.25
Recharge Well,20.0,West Bengal,14001.07,11.67
Rainwater Barrel,36.07,Maharashtra,4607.32,4.26
Recharge Pit,11.13,Rajasthan,3669.64,21.98
Recharge Well,59.54,West Bengal,25861.4,7.24
Recharge Pit,33.13,Tamil Nadu,6969.49,7.79
Recharge Well,14.92,Maharashtra,12475.74,17.42
Recharge Well,45.35,Maharashtra,21604.55,9.93
Recharge Pit,74.89,Maharashtra,13234.13,4.91
Infiltration Trench,20.84,Delhi NCR,8167.67,14.0
Cistern,29.81,Delhi NCR,12452.87,13.92
Rainwater Barrel,25.6,Gujarat,3559.99,9.27
Recharge Well,22.53,Maharashtra,14759.3,13.65
Rainwater Barrel,21.37,Karnataka,3137.49,5.87
Recharge Pit,23.97,West Bengal,5595.38,5.19
Rainwater Barrel,24.63,Gujarat,3462.62,9.37
Recharge Pit,27.71,Rajasthan,6156.4,14.81
Rainwater Barrel,26.72,Punjab,3672.13,7.85
Cistern,48.45,Delhi NCR,17113.14,11.77
Cistern,46.34,Maharashtra,16584.22,7.95
Cistern,15.38,Rajasthan,8845.7,30.67
Cistern,24.61,Gujarat,11152.82,20.14
Cistern,61.89,Gujarat,20471.26,14.7
Cistern,38.36,Delhi NCR,14589.97,12.68
Recharge Pit,39.14,Gujarat,7871.53,11.17
Recharge Well,37.32,Karnataka,19195.55,12.86
Rainwater Barrel,29.05,Gujarat,3905.44,8.96
Cistern,32.44,Tamil Nadu,13110.68,11.97
Recharge Pit,27.06,West Bengal,6058.98,4.98
Recharge Pit,50.8,Punjab,9619.78,9.02
Recharge Pit,27.18,Gujarat,6077.53,12.42
Recharge Well,31.3,West Bengal,17389.1,9.26
Rainwater Barrel,47.83,West Bengal,5783.07,3.22
Recharge Well,28.11,Tamil Nadu,16432.82,16.24
Infiltration Trench,31.96,Rajasthan,10392.99,18.58
Recharge Pit,27.69,Gujarat,6152.79,12.35
Infiltration Trench,31.67,Karnataka,10333.76,9.32
Cistern,28.16,Rajasthan,12039.55,22.8
Cistern,25.33,West Bengal,11333.02,7.95
Recharge Well,23.24,West Bengal,14973.04,10.74
Rainwater Barrel,30.38,Maharashtra,4037.97,4.43
Infiltration Trench,55.1,Gujarat,15019.66,12.98
Rainwater Barrel,45.23,Delhi NCR,5523.4,6.11
Recharge Well,15.04,Tamil Nadu,12510.63,23.11
Cistern,26.72,Tamil Nadu,11680.09,12.95
Rainwater Barrel,24.07,Delhi NCR,3406.67,7.08
Rainwater Barrel,15.16,Punjab,2516.27,9.48
Cistern,38.0,West Bengal,14500.5,6.78
Infiltration Trench,31.56,Maharashtra,10312.4,7.78
Cistern,91.06,Karnataka,27763.92,8.13
Rainwater Barrel,28.02,Tamil Nadu,3802.2,6.03
Infiltration Trench,22.46,Rajasthan,8492.79,21.6
Infiltration Trench,21.4,West Bengal,8280.6,7.37
Cistern,26.42,Karnataka,11605.55,11.71
Rainwater Barrel,44.49,Tamil Nadu,5448.55,5.44
Recharge Well,47.11,Maharashtra,22132.28,9.79
Rainwater Barrel,143.03,Punjab,15303.35,6.11
Recharge Pit,18.11,Maharashtra,4717.17,7.23
Recharge Well,34.57,Rajasthan,18372.36,26.57
Infiltration Trench,23.52,Maharashtra,8704.04,8.81
Recharge Well,39.46,Karnataka,19837.55,12.57
Infiltration Trench,66.13,West Bengal,17225.42,4.96
Infiltration Trench,50.96,Rajasthan,14192.15,15.91
Recharge Well,18.11,West Bengal,13431.55,12.36
Infiltration Trench,46.63,Delhi NCR,13326.79,10.21
Infiltration Trench,11.51,Gujarat,6302.25,26.07
Recharge Pit,10.07,Delhi NCR,3511.22,14.52
Rainwater Barrel,29.24,Karnataka,3923.82,5.37
Rainwater Barrel,44.94,Gujarat,5494.05,8.15
Recharge Pit,39.41,Delhi NCR,7911.97,8.36
Recharge Well,85.88,Gujarat,33762.54,16.38
Cistern,34.98,Tamil Nadu,13744.01,11.64
Cistern,31.39,Maharashtra,12848.14,9.09
Cistern,59.0,Rajasthan,19750.87,17.85
Recharge Pit,27.47,Gujarat,6119.84,12.38
Recharge Pit,40.22,Tamil Nadu,8033.06,7.4
Infiltration Trench,41.45,Maharashtra,12290.0,7.06
Cistern,20.37,Maharashtra,10092.77,11.01
Recharge Well,40.19,Punjab,20058.39,17.82
Recharge Well,98.74,West Bengal,37622.69,6.35
Cistern,58.46,Delhi NCR,19614.74,11.18
Cistern,21.77,Punjab,10441.53,18.27
Cistern,106.63,West Bengal,31656.45,5.28
Recharge Pit,46.74,West Bengal,9011.24,4.28
Recharge Pit,40.94,Karnataka,8141.11,6.63
Recharge Pit,31.54,Tamil Nadu,6731.63,7.9
Rainwater Barrel,46.59,Punjab,5658.85,6.94
Recharge Well,35.02,Punjab,18505.72,18.87
Recharge Well,33.44,West Bengal,18032.7,8.99
Infiltration Trench,30.98,Maharashtra,10196.64,7.84
Recharge Pit,53.89,Tamil Nadu,10083.0,6.93
Rainwater Barrel,50.98,Maharashtra,6098.19,3.99
Rainwater Barrel,30.73,Rajasthan,4073.2,10.6
Recharge Well,15.49,Gujarat,12648.45,34.01
Recharge Pit,33.72,Karnataka,7057.71,6.98
Infiltration Trench,23.13,Karnataka,8625.68,10.66
Recharge Pit,26.13,Delhi NCR,5919.99,9.44
Cistern,31.11,Maharashtra,12777.85,9.13
Recharge Pit,19.49,Gujarat,4923.33,14.03
Cistern,14.8,West Bengal,8700.83,10.45
Cistern,38.32,Delhi NCR,14580.14,12.68
Infiltration Trench,33.56,Karnataka,10712.54,9.12
Recharge Well,32.93,Gujarat,17878.12,22.62
Recharge Pit,42.75,Punjab,8412.59,9.37
Cistern,23.81,Rajasthan,10953.25,24.53
Recharge Pit,39.1,West Bengal,7865.67,4.47
Recharge Well,64.63,Punjab,27389.63,15.13
Recharge Well,29.16,Rajasthan,16746.68,28.72
Rainwater Barrel,85.6,West Bengal,9560.06,2.98
Recharge Well,33.95,Maharashtra,18186.1,11.16
Infiltration Trench,21.62,Tamil Nadu,8324.83,12.22
Cistern,50.65,Delhi NCR,17661.27,11.62
Rainwater Barrel,31.3,Delhi NCR,4130.32,6.6
Infiltration Trench,56.05,Tamil Nadu,15210.35,8.61
Recharge Pit,40.72,Gujarat,8107.72,11.06
Cistern,28.11,Tamil Nadu,12027.22,12.68
Recharge Well,70.85,Maharashtra,29253.78,8.6
Cistern,25.8,Karnataka,11449.61,11.83
Recharge Pit,11.21,Tamil Nadu,3682.15,12.16
Rainwater Barrel,51.43,Rajasthan,6143.35,9.56
Rainwater Barrel,39.45,Karnataka,4944.73,5.01
Rainwater Barrel,62.92,Tamil Nadu,7291.97,5.15
Recharge Well,21.31,Delhi NCR,14392.91,21.11
Infiltration Trench,29.27,Punjab,9853.19,13.74
Infiltration Trench,27.66,Rajasthan,9531.95,19.69
Cistern,52.82,Maharashtra,18204.88,7.66
Recharge Well,45.85,Rajasthan,21755.69,23.72
Rainwater Barrel,36.87,West Bengal,4687.01,3.39
Rainwater Barrel,36.99,Gujarat,4698.91,8.47
Recharge Pit,18.63,Punjab,4793.78,12.26
Recharge Pit,48.63,Rajasthan,9295.23,12.74
Rainwater Barrel,49.13,West Bengal,5913.45,3.21
Rainwater Barrel,104.12,Tamil Nadu,11412.1,4.87
Recharge Well,41.9,Rajasthan,20571.34,24.55
Infiltration Trench,45.43,Rajasthan,13086.51,16.46
Recharge Pit,42.05,Rajasthan,8307.13,13.17
Infiltration Trench,23.37,Gujarat,8674.91,17.67
Recharge Well,61.85,Rajasthan,26554.79,21.47
Rainwater Barrel,32.21,Rajasthan,4220.52,10.48
Infiltration Trench,30.07,Gujarat,10013.96,15.86
Rainwater Barrel,30.96,West Bengal,4095.68,3.53
Rainwater Barrel,32.04,Karnataka,4204.14,5.25
Cistern,25.97,Punjab,11491.55,16.86
Infiltration Trench,36.88,West Bengal,11375.63,5.88
Infiltration Trench,31.55,Maharashtra,10310.77,7.78
Rainwater Barrel,30.24,Karnataka,4023.94,5.32
Recharge Well,42.31,Delhi NCR,20691.59,15.28
Cistern,34.39,Gujarat,13598.61,17.57
Rainwater Barrel,25.1,Gujarat,3510.16,9.32
Recharge Pit,22.61,Rajasthan,5390.95,15.9
Recharge Pit,34.79,Rajasthan,7217.83,13.83
Cistern,22.8,Maharashtra,10699.56,10.43
Recharge Well,21.99,Delhi NCR,14597.7,20.74
Rainwater Barrel,22.15,Rajasthan,3214.83,11.61
Infiltration Trench,37.62,Tamil Nadu,11523.67,9.72
Cistern,60.15,Rajasthan,20036.44,17.77
Recharge Well,39.4,Rajasthan,19821.35,25.15
Infiltration Trench,51.59,Tamil Nadu,14318.86,8.81
Recharge Pit,31.98,Delhi NCR,6797.18,8.86
Recharge Pit,35.56,Tamil Nadu,7333.42,7.64
Infiltration Trench,75.68,Gujarat,19135.76,12.04
Cistern,50.12,Tamil Nadu,17529.15,10.36
Recharge Pit,52.91,Punjab,9935.87,8.94
Rainwater Barrel,29.02,Gujarat,3901.75,8.96
Infiltration Trench,33.03,Rajasthan,10605.67,18.35
Infiltration Trench,40.56,Maharashtra,12112.4,7.11
Recharge Pit,24.45,Gujarat,5668.12,12.88
Cistern,10.16,Delhi NCR,7539.88,24.74
Rainwater Barrel,40.38,Delhi NCR,5037.59,6.24
Cistern,53.55,Tamil Nadu,18388.4,10.17
Recharge Well,34.04,Gujarat,18212.66,22.29
Recharge Well,24.58,Rajasthan,15374.83,31.27
Recharge Pit,28.07,Delhi NCR,6210.29,9.22
Recharge Pit,12.01,Karnataka,3801.72,10.55
Recharge Pit,28.03,Rajasthan,6204.97,14.76
Recharge Well,18.96,Karnataka,13688.72,18.05
Cistern,23.34,Punjab,10835.06,17.68
Cistern,18.49,Karnataka,9622.17,13.88
Recharge Pit,17.45,West Bengal,4617.95,5.88
Rainwater Barrel,20.04,Delhi NCR,3004.43,7.49
Cistern,45.44,Tamil Nadu,16360.19,10.67
Recharge Well,25.66,Punjab,15699.32,21.85
Infiltration Trench,19.03,Gujarat,7806.08,19.53
Infiltration Trench,48.28,Rajasthan,13655.9,16.16
Infiltration Trench,35.32,Delhi NCR,11064.26,11.19
Rainwater Barrel,10.16,Punjab,2015.7,11.34
Recharge Pit,54.48,Punjab,10171.82,8.89
Recharge Well,34.33,West Bengal,18299.18,8.88
Rainwater Barrel,48.68,Delhi NCR,5867.6,6.03
Recharge Well,29.59,Gujarat,16876.58,23.77
Recharge Well,73.87,Gujarat,30161.85,17.01
Recharge Pit,27.36,Tamil Nadu,6103.89,8.26
Infiltration Trench,10.0,Maharashtra,6000.0,14.29
Recharge Pit,21.23,Karnataka,5184.18,8.14
Rainwater Barrel,42.57,Gujarat,5256.66,8.23
Rainwater Barrel,35.86,West Bengal,4585.72,3.41
Rainwater Barrel,31.15,Tamil Nadu,4114.78,5.87
Recharge Pit,20.22,Karnataka,5033.41,8.3
Recharge Well,33.42,Punjab,18026.55,19.26
Recharge Well,32.88,Delhi NCR,17863.48,16.98
Cistern,32.71,Gujarat,13177.46,17.9
Rainwater Barrel,43.33,Tamil Nadu,5332.96,5.47
Recharge Well,36.27,Punjab,18879.84,18.59
Cistern,29.19,Gujarat,12297.69,18.72
Recharge Well,20.06,Rajasthan,14017.94,34.94
Rainwater Barrel,65.37,Maharashtra,7536.57,3.84
Infiltration Trench,89.19,Punjab,21838.57,9.99
Rainwater Barrel,79.21,West Bengal,8921.02,3.0
Recharge Pit,46.97,West Bengal,9045.72,4.28
Recharge Well,14.33,Gujarat,12299.45,35.76
Recharge Well,13.48,West Bengal,12044.51,14.89
Recharge Pit,25.17,Punjab,5776.01,10.93
Recharge Pit,32.22,Delhi NCR,6833.18,8.84
Infiltration Trench,31.57,Delhi NCR,10313.24,11.67
Recharge Well,36.48,Maharashtra,18945.22,10.82
Recharge Well,16.51,Delhi NCR,12952.06,24.52
Infiltration Trench,73.97,Karnataka,18794.74,7.26
Cistern,70.29,Rajasthan,22572.32,17.13
Infiltration Trench,17.19,Delhi NCR,7437.98,15.45
Rainwater Barrel,13.06,West Bengal,2305.57,4.71
Recharge Well,31.66,Rajasthan,17498.7,27.63
Recharge Pit,62.24,Delhi NCR,11336.44,7.59
Rainwater Barrel,32.59,Karnataka,4258.69,5.23
Recharge Well,37.71,West Bengal,19313.59,8.54
Infiltration Trench,26.58,Punjab,9315.92,14.31
Rainwater Barrel,35.63,Gujarat,4562.83,8.54
Recharge Well,53.1,Gujarat,23930.98,18.78
Cistern,40.69,Delhi NCR,15173.23,12.43
Cistern,44.16,Gujarat,16039.28,16.14
Recharge Pit,14.42,Delhi NCR,4162.5,12.03
Recharge Well,96.46,Delhi NCR,36938.37,11.97
Cistern,14.5,West Bengal,8625.81,10.57
Infiltration Trench,35.81,Maharashtra,11161.88,7.42
Recharge Well,30.72,Tamil Nadu,17214.73,15.57
Infiltration Trench,31.39,Tamil Nadu,10278.36,10.39
Infiltration Trench,51.16,Maharashtra,14231.54,6.62
Cistern,23.25,Tamil Nadu,10811.28,13.78
Recharge Well,26.67,Rajasthan,16001.85,30.0
Rainwater Barrel,18.67,Tamil Nadu,2866.59,6.83
Cistern,58.04,Delhi NCR,19509.23,11.21
Cistern,37.83,Karnataka,14456.94,10.19
Recharge Well,45.54,Karnataka,21662.25,11.89
Recharge Well,49.7,Punjab,22909.81,16.46
Infiltration Trench,89.63,West Bengal,21926.29,4.66
Recharge Well,82.14,Tamil Nadu,32643.18,11.04
Infiltration Trench,38.92,Karnataka,11784.1,8.65
Cistern,35.84,Tamil Nadu,13959.25,11.54
Recharge Pit,25.38,West Bengal,5806.88,5.08
Rainwater Barrel,48.04,Punjab,5804.22,6.9
Cistern,47.16,Karnataka,16790.12,9.49
Recharge Well,23.0,Delhi NCR,14898.69,20.25
Rainwater Barrel,47.46,Rajasthan,5746.02,9.69
Recharge Pit,54.83,Maharashtra,10224.0,5.18
Recharge Pit,18.9,Maharashtra,4835.04,7.11
Infiltration Trench,36.41,Maharashtra,11282.83,7.38
Rainwater Barrel,32.04,Tamil Nadu,4204.48,5.83
Infiltration Trench,33.03,Karnataka,10605.28,9.17
Cistern,20.57,West Bengal,10141.68,8.77
Rainwater Barrel,13.29,West Bengal,2328.61,4.67
Cistern,22.7,Karnataka,10674.59,12.54
Infiltration Trench,21.16,Punjab,8232.67,15.88
Rainwater Barrel,39.51,Delhi NCR,4951.23,6.27
Infiltration Trench,39.84,Gujarat,11967.08,14.31
Rainwater Barrel,38.72,Karnataka,4871.77,5.03
Infiltration Trench,16.47,Rajasthan,7294.31,25.31
Recharge Pit,18.92,Punjab,4838.0,12.18
Infiltration Trench,24.33,Karnataka,8865.77,10.41
Recharge Pit,33.5,Karnataka,7025.13,6.99
Infiltration Trench,28.01,Punjab,9601.35,13.99
Rainwater Barrel,38.68,Punjab,4867.99,7.19
Rainwater Barrel,53.93,Tamil Nadu,6393.26,5.27
Rainwater Barrel,20.09,Karnataka,3009.26,5.99
Recharge Well,20.48,Gujarat,14143.48,28.78
Cistern,35.43,Rajasthan,13858.57,20.86
Rainwater Barrel,31.78,Delhi NCR,4178.47,6.57
Recharge Pit,48.02,Delhi NCR,9203.46,7.99
Rainwater Barrel,33.24,Gujarat,4324.11,8.67
Recharge Well,79.06,West Bengal,31719.27,6.69
Recharge Pit,14.97,Punjab,4245.53,13.5
Recharge Well,50.41,Punjab,23121.77,16.38
Recharge Pit,36.59,West Bengal,7487.89,4.55
Infiltration Trench,16.42,Punjab,7284.0,18.11
Cistern,11.78,West Bengal,7943.87,11.99
Cistern,18.87,Karnataka,9717.11,13.73
Recharge Well,60.62,West Bengal,26184.53,7.2
Cistern,57.26,Punjab,19315.19,12.85
