open_space,roof_type,roof_age,runoff_coefficient,location,annual_rainfall,annual_harvestable_water
414,Modern Composite Sheets,2,0.8303,Jaisalmer,210,69567
531,Modern Composite Sheets,48,0.8413,Bhopal,1150,466326
277,Concrete Roof,46,0.6627,Jaipur,650,109784
239,Ceramic Tiles,33,0.7813,Hisar,500,86552
44,Terracotta and Clay Tiles,28,0.8298,Delhi,780,26512
324,Concrete Roof,28,0.6326,Gorakhpur,1250,240991
316,Asbestos Sheet,38,0.7579,Hisar,500,110385
422,Metal Roofs,42,0.8496,Bhopal,1150,380088
159,Tiled Roof,43,0.7154,Mumbai,2250,236243
504,Terracotta and Clay Tiles,3,0.8154,Chennai,1400,548187
54,Metal Roofs,50,0.8673,Lucknow,1000,42266
495,Ceramic Tiles,50,0.8052,Lucknow,1000,362045
169,Lime-Finished Roofs,11,0.6619,Tezpur,1850,194559
369,Metal Roofs,35,0.832,Raichur,620,176337
586,Lime-Finished Roofs,42,0.6653,Pune,720,256369
124,Tiled Roof,13,0.7241,Jaipur,650,55049
210,Terracotta and Clay Tiles,24,0.8044,Jaisalmer,210,33053
357,Stone Slabs,10,0.7009,Wardha,1060,251352
183,Asbestos Sheet,12,0.7675,Mumbai,2250,302383
360,Lime-Finished Roofs,15,0.6667,Anantapur,560,126799
523,Stone Slabs,31,0.7374,Jaipur,650,232043
80,Concrete Roof,32,0.6192,Sambalpur,1400,64839
248,Lime-Finished Roofs,34,0.6644,Kolkata,1800,277604
294,Terracotta and Clay Tiles,16,0.7962,Ahmedabad,800,175276
596,Terracotta and Clay Tiles,6,0.8349,Chennai,1400,671333
335,Ceramic Tiles,9,0.7946,Patna,1200,306624
581,Asbestos Sheet,49,0.7567,Jaipur,650,261403
460,Modern Composite Sheets,25,0.8249,Ahmedabad,800,281391
197,Terracotta and Clay Tiles,35,0.8296,Pune,720,109813
113,Lime-Finished Roofs,31,0.6733,Gorakhpur,1250,88965
58,Tiled Roof,47,0.7255,Pune,720,27433
403,Terracotta and Clay Tiles,47,0.8089,Anantapur,560,165943
140,Terracotta and Clay Tiles,13,0.786,Tezpur,1850,192492
154,Lime-Finished Roofs,13,0.7016,Lucknow,1000,102441
527,Stone Slabs,26,0.6984,Shillong,2900,1002677
397,Asbestos Sheet,28,0.7599,Delhi,780,220904
572,Modern Composite Sheets,7,0.8102,Hisar,500,218907
118,Modern Composite Sheets,10,0.8553,Lucknow,1000,95553
320,Asbestos Sheet,16,0.7636,Pune,720,166946
507,Galvanized Iron Sheet,50,0.8272,Shillong,2900,1107486
58,Lime-Finished Roofs,29,0.6744,Pune,720,26404
460,Concrete Roof,50,0.6595,Mumbai,2250,621311
181,Concrete Roof,37,0.6664,Tezpur,1850,207858
496,Stone Slabs,26,0.6775,Sambalpur,1400,438992
531,Concrete Roof,22,0.6501,Wardha,1060,343003
360,Terracotta and Clay Tiles,35,0.8044,Bhopal,1150,305539
580,Stone Slabs,7,0.7028,Jaisalmer,210,82076
506,Asbestos Sheet,43,0.7664,Pune,720,255240
110,Stone Slabs,19,0.7044,Lucknow,1000,72429
358,Modern Composite Sheets,41,0.8083,Shillong,2900,772290
222,Terracotta and Clay Tiles,27,0.8112,Kolkata,1800,301381
510,Metal Roofs,35,0.8429,Mumbai,2250,887531
447,Modern Composite Sheets,49,0.8242,Jaipur,650,218010
68,Asbestos Sheet,3,0.7467,Sagar,1100,53848
329,Terracotta and Clay Tiles,40,0.7963,Anantapur,560,135143
531,Stone Slabs,21,0.7273,Wardha,1060,388553
70,Tiled Roof,36,0.7034,Bengaluru,970,44139
494,Modern Composite Sheets,39,0.8535,Chennai,1400,544095
402,Galvanized Iron Sheet,5,0.883,Ahmedabad,800,270834
57,Galvanized Iron Sheet,2,0.8569,Anantapur,560,26098
321,Concrete Roof,35,0.6573,Bhopal,1150,224200
239,Galvanized Iron Sheet,19,0.8448,Jaisalmer,210,39867
547,Ceramic Tiles,50,0.8239,Mumbai,2250,931370
551,Metal Roofs,50,0.85,Mumbai,2250,963842
495,Concrete Roof,41,0.6288,Gorakhpur,1250,360931
405,Terracotta and Clay Tiles,27,0.8045,Tezpur,1850,567216
277,Modern Composite Sheets,22,0.8431,Lucknow,1000,218227
93,Tiled Roof,9,0.6787,Lucknow,1000,59532
396,Stone Slabs,43,0.7099,Patna,1200,311061
450,Metal Roofs,19,0.8544,Jaipur,650,233485
170,Tiled Roof,14,0.6997,Sagar,1100,124432
215,Stone Slabs,17,0.7276,Shillong,2900,429665
235,Modern Composite Sheets,12,0.8277,Hisar,500,91735
365,Lime-Finished Roofs,36,0.6699,Lucknow,1000,227084
182,Modern Composite Sheets,36,0.8484,Lucknow,1000,142390
416,Stone Slabs,22,0.6929,Shillong,2900,780963
421,Ceramic Tiles,9,0.8143,Mumbai,2250,731772
399,Metal Roofs,27,0.8563,Mumbai,2250,719460
180,Lime-Finished Roofs,44,0.6322,Raichur,620,65210
153,Metal Roofs,29,0.8882,Ahmedabad,800,102061
92,Ceramic Tiles,38,0.807,Purnia,1350,92535
292,Ceramic Tiles,5,0.7898,Anantapur,560,122959
337,Tiled Roof,35,0.6993,Raichur,620,134896
439,Asbestos Sheet,36,0.7565,Tezpur,1850,563164
82,Modern Composite Sheets,38,0.8149,Jaipur,650,40148
540,Metal Roofs,36,0.8561,Lucknow,1000,426940
193,Lime-Finished Roofs,21,0.6124,Tezpur,1850,203586
148,Modern Composite Sheets,14,0.8261,Patna,1200,138202
271,Tiled Roof,43,0.7113,Chennai,1400,245620
163,Ceramic Tiles,4,0.824,Bhopal,1150,148079
539,Concrete Roof,20,0.6573,Bathinda,420,140000
71,Galvanized Iron Sheet,29,0.8719,Pune,720,41123
579,Stone Slabs,30,0.7051,Hisar,500,189190
195,Galvanized Iron Sheet,10,0.8463,Purnia,1350,213820
408,Metal Roofs,23,0.8544,Tezpur,1850,606850
349,Modern Composite Sheets,35,0.8114,Raichur,620,163051
321,Concrete Roof,18,0.6984,Lucknow,1000,209983
124,Modern Composite Sheets,2,0.8257,Bhopal,1150,113891
166,Stone Slabs,36,0.6705,Gorakhpur,1250,127848
573,Ceramic Tiles,34,0.8054,Ahmedabad,800,339127
238,Asbestos Sheet,28,0.7737,Ahmedabad,800,138293
271,Tiled Roof,14,0.6881,Shillong,2900,508298
335,Terracotta and Clay Tiles,6,0.8008,Hisar,500,127565
582,Modern Composite Sheets,6,0.8509,Bengaluru,970,462800
369,Asbestos Sheet,1,0.7758,Bhopal,1150,313735
73,Metal Roofs,38,0.8564,Hyderabad,800,45720
296,Concrete Roof,22,0.6692,Patna,1200,221714
225,Metal Roofs,31,0.8336,Jaisalmer,210,36395
144,Modern Composite Sheets,25,0.8332,Pune,720,80228
456,Asbestos Sheet,3,0.763,Lucknow,1000,330732
135,Asbestos Sheet,12,0.7435,Sambalpur,1400,134223
491,Terracotta and Clay Tiles,17,0.7836,Hisar,500,182747
565,Lime-Finished Roofs,8,0.6895,Ahmedabad,800,295841
448,Asbestos Sheet,38,0.744,Jaipur,650,198162
355,Tiled Roof,9,0.7194,Pune,720,173663
362,Asbestos Sheet,39,0.7731,Jaisalmer,210,54246
538,Asbestos Sheet,22,0.7299,Tezpur,1850,684432
543,Galvanized Iron Sheet,39,0.8638,Ahmedabad,800,345271
170,Lime-Finished Roofs,22,0.6787,Bhopal,1150,124791
102,Tiled Roof,28,0.6936,Bathinda,420,27487
196,Ceramic Tiles,49,0.7764,Gorakhpur,1250,174721
218,Stone Slabs,34,0.702,Delhi,780,111312
240,Concrete Roof,48,0.6517,Bathinda,420,60356
142,Modern Composite Sheets,36,0.8332,Ahmedabad,800,87357
548,Concrete Roof,34,0.6452,Sagar,1100,357230
201,Terracotta and Clay Tiles,32,0.8063,Hyderabad,800,121183
95,Modern Composite Sheets,48,0.8565,Bengaluru,970,72585
357,Tiled Roof,35,0.6974,Bathinda,420,96859
375,Ceramic Tiles,31,0.8116,Wardha,1060,300433
443,Tiled Roof,14,0.6962,Sagar,1100,319605
173,Stone Slabs,5,0.7278,Hyderabad,800,96295
142,Stone Slabs,14,0.7054,Lucknow,1000,95672
570,Metal Roofs,26,0.8309,Hisar,500,221636
374,Ceramic Tiles,36,0.7828,Shillong,2900,782441
516,Asbestos Sheet,8,0.7594,Bathinda,420,157422
428,Ceramic Tiles,47,0.8291,Patna,1200,388703
503,Ceramic Tiles,35,0.8126,Delhi,780,295104
174,Asbestos Sheet,30,0.765,Bhopal,1150,142777
154,Metal Roofs,38,0.8475,Gorakhpur,1250,151717
450,Lime-Finished Roofs,24,0.6631,Bathinda,420,117486
88,Lime-Finished Roofs,28,0.6335,Sagar,1100,56880
255,Galvanized Iron Sheet,23,0.8516,Wardha,1060,215482
540,Lime-Finished Roofs,11,0.6706,Kolkata,1800,624819
530,Stone Slabs,48,0.688,Hyderabad,800,266235
393,Terracotta and Clay Tiles,48,0.7901,Bhopal,1150,328823
181,Ceramic Tiles,2,0.8227,Hyderabad,800,114691
346,Ceramic Tiles,40,0.8238,Lucknow,1000,262806
61,Tiled Roof,2,0.7223,Mumbai,2250,95458
582,Terracotta and Clay Tiles,7,0.825,Bhopal,1150,522185
205,Stone Slabs,15,0.6974,Bathinda,420,56813
348,Lime-Finished Roofs,37,0.6551,Kolkata,1800,379903
579,Concrete Roof,29,0.6705,Kolkata,1800,657575
198,Lime-Finished Roofs,3,0.6682,Raichur,620,78416
234,Tiled Roof,50,0.7007,Hisar,500,74176
155,Galvanized Iron Sheet,6,0.8486,Pune,720,91121
48,Lime-Finished Roofs,36,0.6774,Mumbai,2250,68092
420,Ceramic Tiles,2,0.7989,Raichur,620,200808
427,Galvanized Iron Sheet,7,0.8622,Wardha,1060,370704
403,Metal Roofs,10,0.8399,Shillong,2900,931091
484,Galvanized Iron Sheet,7,0.8383,Gorakhpur,1250,488127
561,Metal Roofs,9,0.8475,Delhi,780,354079
465,Concrete Roof,10,0.6641,Gorakhpur,1250,369778
479,Modern Composite Sheets,46,0.8119,Gorakhpur,1250,445346
72,Tiled Roof,13,0.7135,Hyderabad,800,39153
276,Asbestos Sheet,46,0.7761,Bhopal,1150,226315
278,Galvanized Iron Sheet,34,0.8177,Hisar,500,106020
322,Lime-Finished Roofs,44,0.6282,Tezpur,1850,341328
148,Terracotta and Clay Tiles,50,0.7972,Bathinda,420,45545
227,Metal Roofs,32,0.852,Sagar,1100,195758
75,Modern Composite Sheets,37,0.8385,Wardha,1060,62010
420,Asbestos Sheet,31,0.784,Hyderabad,800,244310
558,Galvanized Iron Sheet,16,0.8358,Bathinda,420,186768
84,Tiled Roof,18,0.6608,Bathinda,420,22171
417,Stone Slabs,3,0.7029,Jaisalmer,210,59511
111,Tiled Roof,14,0.7283,Mumbai,2250,172249
129,Modern Composite Sheets,23,0.8414,Jaipur,650,65832
129,Asbestos Sheet,25,0.7711,Delhi,780,72496
313,Metal Roofs,39,0.8128,Patna,1200,279421
41,Asbestos Sheet,33,0.7752,Jaisalmer,210,6215
188,Modern Composite Sheets,15,0.8302,Purnia,1350,199957
342,Galvanized Iron Sheet,24,0.8574,Lucknow,1000,277156
196,Tiled Roof,49,0.6975,Sambalpur,1400,175493
388,Terracotta and Clay Tiles,45,0.7835,Anantapur,560,157565
328,Ceramic Tiles,8,0.8645,Patna,1200,324858
88,Concrete Roof,33,0.6338,Shillong,2900,149846
187,Stone Slabs,32,0.7052,Lucknow,1000,123109
538,Ceramic Tiles,11,0.8207,Jaipur,650,270389
275,Metal Roofs,10,0.8662,Bengaluru,970,221405
115,Concrete Roof,30,0.6693,Kolkata,1800,127933
246,Metal Roofs,20,0.8103,Raichur,620,116647
40,Galvanized Iron Sheet,11,0.8347,Hisar,500,15905
284,Terracotta and Clay Tiles,2,0.8188,Jaipur,650,144479
315,Ceramic Tiles,10,0.8243,Delhi,780,193469
229,Concrete Roof,20,0.6584,Hisar,500,70362
161,Modern Composite Sheets,11,0.8303,Purnia,1350,173027
495,Concrete Roof,45,0.6664,Jaipur,650,196534
553,Modern Composite Sheets,11,0.8632,Bhopal,1150,520447
416,Modern Composite Sheets,31,0.8251,Gorakhpur,1250,396139
498,Asbestos Sheet,27,0.7765,Ahmedabad,800,287510
141,Metal Roofs,50,0.8648,Delhi,780,87157
520,Tiled Roof,34,0.6711,Tezpur,1850,593865
419,Modern Composite Sheets,46,0.8412,Pune,720,233116
162,Metal Roofs,16,0.8706,Hyderabad,800,106710
596,Modern Composite Sheets,26,0.8415,Lucknow,1000,470434
344,Terracotta and Clay Tiles,48,0.7825,Mumbai,2250,547817
153,Terracotta and Clay Tiles,20,0.823,Hisar,500,59018
467,Asbestos Sheet,14,0.7466,Tezpur,1850,612396
347,Galvanized Iron Sheet,24,0.8316,Gorakhpur,1250,337078
230,Galvanized Iron Sheet,4,0.8639,Bhopal,1150,217007
392,Concrete Roof,28,0.682,Bengaluru,970,242346
61,Metal Roofs,25,0.8889,Bhopal,1150,57939
204,Metal Roofs,6,0.8231,Anantapur,560,89683
366,Galvanized Iron Sheet,18,0.8653,Gorakhpur,1250,372197
517,Metal Roofs,2,0.8848,Kolkata,1800,794743
353,Tiled Roof,46,0.6803,Sagar,1100,241896
482,Lime-Finished Roofs,1,0.675,Raichur,620,194252
585,Modern Composite Sheets,11,0.8311,Jaipur,650,297051
290,Modern Composite Sheets,28,0.8279,Patna,1200,267489
450,Metal Roofs,15,0.8486,Chennai,1400,503076
378,Ceramic Tiles,25,0.8281,Lucknow,1000,295581
138,Concrete Roof,24,0.6544,Sambalpur,1400,119612
165,Ceramic Tiles,25,0.7746,Hisar,500,60371
440,Modern Composite Sheets,35,0.8373,Chennai,1400,477907
62,Tiled Roof,15,0.7167,Jaipur,650,27316
438,Metal Roofs,13,0.8436,Purnia,1350,475269
195,Tiled Roof,28,0.7214,Anantapur,560,73867
358,Asbestos Sheet,47,0.7356,Sambalpur,1400,336716
195,Tiled Roof,16,0.7297,Kolkata,1800,243995
259,Concrete Roof,38,0.6632,Purnia,1350,212206
99,Terracotta and Clay Tiles,9,0.8175,Delhi,780,59599
296,Metal Roofs,28,0.8717,Patna,1200,288612
326,Galvanized Iron Sheet,11,0.8449,Chennai,1400,365771
81,Tiled Roof,33,0.6894,Bathinda,420,21703
108,Concrete Roof,28,0.6311,Wardha,1060,67495
570,Ceramic Tiles,28,0.7814,Sagar,1100,457509
196,Stone Slabs,19,0.7381,Mumbai,2250,305329
313,Galvanized Iron Sheet,14,0.8659,Wardha,1060,270692
371,Terracotta and Clay Tiles,29,0.7969,Sambalpur,1400,388923
286,Stone Slabs,27,0.7064,Purnia,1350,254529
538,Modern Composite Sheets,12,0.8463,Purnia,1350,583730
264,Terracotta and Clay Tiles,16,0.8176,Bhopal,1150,233499
545,Lime-Finished Roofs,13,0.6357,Sambalpur,1400,456761
240,Asbestos Sheet,12,0.7318,Gorakhpur,1250,207915
355,Tiled Roof,43,0.7362,Kolkata,1800,429713
514,Stone Slabs,37,0.7173,Bengaluru,970,327180
439,Terracotta and Clay Tiles,18,0.7926,Pune,720,238392
368,Tiled Roof,13,0.7258,Ahmedabad,800,202466
40,Ceramic Tiles,2,0.7926,Raichur,620,18741
146,Ceramic Tiles,5,0.8163,Jaisalmer,210,23698
215,Modern Composite Sheets,47,0.8426,Bathinda,420,69304
167,Terracotta and Clay Tiles,28,0.8076,Bhopal,1150,144729
580,Concrete Roof,43,0.6691,Purnia,1350,479656
519,Tiled Roof,35,0.7287,Bhopal,1150,404706
419,Stone Slabs,19,0.6938,Shillong,2900,792308
350,Modern Composite Sheets,11,0.8179,Lucknow,1000,270081
537,Concrete Roof,30,0.6478,Jaisalmer,210,68162
380,Ceramic Tiles,31,0.8078,Pune,720,204427
57,Lime-Finished Roofs,20,0.654,Jaisalmer,210,7412
44,Modern Composite Sheets,5,0.8238,Chennai,1400,48181
144,Lime-Finished Roofs,1,0.645,Purnia,1350,119958
474,Ceramic Tiles,44,0.7899,Sambalpur,1400,484376
533,Terracotta and Clay Tiles,15,0.8203,Lucknow,1000,409940
566,Stone Slabs,32,0.7292,Mumbai,2250,859424
328,Ceramic Tiles,24,0.8206,Kolkata,1800,452671
283,Asbestos Sheet,18,0.7734,Hyderabad,800,165148
185,Stone Slabs,30,0.7028,Bhopal,1150,140229
457,Metal Roofs,12,0.8744,Mumbai,2250,854214
422,Metal Roofs,22,0.8507,Purnia,1350,455764
381,Modern Composite Sheets,3,0.8799,Pune,720,230244
596,Modern Composite Sheets,4,0.845,Kolkata,1800,868389
452,Asbestos Sheet,45,0.7892,Hyderabad,800,262691
473,Galvanized Iron Sheet,11,0.8566,Bhopal,1150,443762
564,Tiled Roof,16,0.7265,Delhi,780,304063
411,Metal Roofs,26,0.8693,Hyderabad,800,267797
217,Tiled Roof,42,0.7488,Ahmedabad,800,118716
567,Tiled Roof,27,0.7297,Pune,720,278668
481,Asbestos Sheet,8,0.7493,Chennai,1400,480766
419,Modern Composite Sheets,27,0.8561,Ahmedabad,800,268839
382,Terracotta and Clay Tiles,43,0.8113,Delhi,780,223744
522,Lime-Finished Roofs,44,0.6535,Hisar,500,154879
137,Ceramic Tiles,35,0.7803,Gorakhpur,1250,124630
434,Galvanized Iron Sheet,25,0.8665,Bengaluru,970,343525
456,Modern Composite Sheets,24,0.835,Sambalpur,1400,500408
61,Terracotta and Clay Tiles,38,0.7807,Bengaluru,970,42385
460,Asbestos Sheet,4,0.7329,Gorakhpur,1250,406852
119,Terracotta and Clay Tiles,42,0.8278,Delhi,780,71015
409,Modern Composite Sheets,1,0.8301,Shillong,2900,948089
352,Lime-Finished Roofs,11,0.6601,Pune,720,158970
544,Metal Roofs,27,0.877,Mumbai,2250,1001427
282,Terracotta and Clay Tiles,20,0.7827,Purnia,1350,282999
199,Metal Roofs,12,0.8643,Bengaluru,970,158654
250,Concrete Roof,17,0.6574,Jaipur,650,101429
475,Lime-Finished Roofs,24,0.6523,Raichur,620,180467
52,Lime-Finished Roofs,2,0.6361,Wardha,1060,33599
483,Modern Composite Sheets,42,0.8434,Bengaluru,970,363831
525,Stone Slabs,40,0.6706,Jaisalmer,210,67737
399,Asbestos Sheet,36,0.7687,Delhi,780,219858
124,Galvanized Iron Sheet,40,0.8275,Gorakhpur,1250,116981
528,Galvanized Iron Sheet,37,0.8599,Bhopal,1150,483830
436,Tiled Roof,43,0.6821,Jaisalmer,210,57529
347,Concrete Roof,13,0.6443,Sambalpur,1400,295047
313,Terracotta and Clay Tiles,2,0.8039,Hisar,500,119643
580,Terracotta and Clay Tiles,15,0.8224,Pune,720,323400
295,Ceramic Tiles,29,0.8026,Anantapur,560,124284
290,Concrete Roof,32,0.6451,Pune,720,125316
296,Terracotta and Clay Tiles,37,0.8132,Bhopal,1150,257220
318,Metal Roofs,42,0.8528,Tezpur,1850,465788
469,Lime-Finished Roofs,35,0.6231,Raichur,620,166536
599,Galvanized Iron Sheet,18,0.8495,Ahmedabad,800,380053
408,Stone Slabs,2,0.6993,Gorakhpur,1250,338438
415,Concrete Roof,7,0.645,Tezpur,1850,474365
205,Tiled Roof,31,0.7108,Patna,1200,161655
558,Modern Composite Sheets,1,0.8201,Lucknow,1000,443337
216,Tiled Roof,44,0.7174,Chennai,1400,200004
226,Tiled Roof,12,0.715,Ahmedabad,800,123648
250,Tiled Roof,37,0.7111,Jaipur,650,105961
289,Concrete Roof,47,0.666,Lucknow,1000,176984
346,Concrete Roof,13,0.6579,Lucknow,1000,214546
312,Concrete Roof,26,0.665,Sambalpur,1400,271827
168,Terracotta and Clay Tiles,2,0.7958,Sambalpur,1400,179009
305,Galvanized Iron Sheet,29,0.8544,Shillong,2900,700798
283,Modern Composite Sheets,8,0.8534,Sambalpur,1400,320226
302,Galvanized Iron Sheet,14,0.8418,Bathinda,420,101047
444,Concrete Roof,31,0.6417,Anantapur,560,148037
48,Stone Slabs,43,0.7176,Hyderabad,800,25524
68,Asbestos Sheet,39,0.7776,Ahmedabad,800,39036
84,Galvanized Iron Sheet,15,0.8182,Gorakhpur,1250,81820
410,Modern Composite Sheets,47,0.8288,Mumbai,2250,697499
325,Concrete Roof,10,0.657,Bathinda,420,85696
487,Modern Composite Sheets,37,0.812,Tezpur,1850,681390
494,Concrete Roof,14,0.6652,Lucknow,1000,313841
177,Modern Composite Sheets,18,0.8534,Bengaluru,970,137617
79,Terracotta and Clay Tiles,38,0.802,Hisar,500,29381
449,Terracotta and Clay Tiles,5,0.7722,Delhi,780,259311
260,Lime-Finished Roofs,16,0.6388,Anantapur,560,87983
75,Stone Slabs,28,0.7095,Shillong,2900,143439
45,Tiled Roof,42,0.6905,Patna,1200,34263
598,Lime-Finished Roofs,48,0.642,Sambalpur,1400,488079
182,Ceramic Tiles,15,0.8155,Mumbai,2250,318225
208,Asbestos Sheet,24,0.7509,Patna,1200,175288
471,Modern Composite Sheets,42,0.8441,Sambalpur,1400,510641
572,Stone Slabs,6,0.6986,Mumbai,2250,850198
228,Terracotta and Clay Tiles,34,0.7929,Hisar,500,83937
365,Concrete Roof,24,0.6703,Bathinda,420,96226
560,Lime-Finished Roofs,48,0.68,Jaipur,650,226673
182,Tiled Roof,11,0.7215,Lucknow,1000,124698
539,Concrete Roof,24,0.6481,Jaisalmer,210,68379
437,Lime-Finished Roofs,2,0.6591,Shillong,2900,805810
177,Metal Roofs,8,0.8802,Patna,1200,179319
357,Ceramic Tiles,37,0.806,Delhi,780,205892
156,Metal Roofs,30,0.8727,Delhi,780,99230
395,Modern Composite Sheets,13,0.827,Jaipur,650,200868
538,Galvanized Iron Sheet,15,0.8788,Lucknow,1000,442824
597,Ceramic Tiles,23,0.8328,Jaipur,650,300031
179,Lime-Finished Roofs,22,0.6358,Tezpur,1850,198692
582,Lime-Finished Roofs,26,0.6643,Gorakhpur,1250,447647
541,Concrete Roof,11,0.6403,Hyderabad,800,265660
493,Modern Composite Sheets,48,0.8377,Jaisalmer,210,78703
103,Lime-Finished Roofs,17,0.6745,Pune,720,47162
338,Stone Slabs,41,0.6874,Tezpur,1850,396450
338,Stone Slabs,2,0.7224,Ahmedabad,800,189124
42,Galvanized Iron Sheet,41,0.8601,Hyderabad,800,26583
403,Modern Composite Sheets,8,0.8559,Kolkata,1800,593906
447,Metal Roofs,45,0.8359,Sagar,1100,376885
131,Concrete Roof,24,0.6589,Pune,720,58476
549,Galvanized Iron Sheet,9,0.8511,Purnia,1350,596751
414,Modern Composite Sheets,1,0.8025,Jaisalmer,210,67038
41,Lime-Finished Roofs,31,0.6471,Pune,720,17705
259,Ceramic Tiles,14,0.8436,Bengaluru,970,202205
309,Concrete Roof,42,0.6849,Kolkata,1800,348193
554,Stone Slabs,4,0.7002,Kolkata,1800,670555
227,Modern Composite Sheets,32,0.836,Ahmedabad,800,140429
64,Ceramic Tiles,32,0.7947,Jaisalmer,210,9996
81,Concrete Roof,6,0.6721,Raichur,620,32512
477,Galvanized Iron Sheet,15,0.8629,Chennai,1400,541469
239,Stone Slabs,19,0.7174,Purnia,1350,218450
516,Metal Roofs,33,0.8592,Bengaluru,970,395680
274,Lime-Finished Roofs,49,0.647,Delhi,780,126023
450,Galvanized Iron Sheet,27,0.8365,Shillong,2900,1021488
363,Concrete Roof,10,0.655,Patna,1200,272563
150,Galvanized Iron Sheet,26,0.8347,Ahmedabad,800,93699
430,Tiled Roof,30,0.6984,Sambalpur,1400,392674
178,Galvanized Iron Sheet,28,0.8913,Pune,720,107625
150,Lime-Finished Roofs,18,0.6439,Pune,720,65853
167,Terracotta and Clay Tiles,35,0.8519,Chennai,1400,183832
580,Galvanized Iron Sheet,10,0.8641,Jaipur,650,308633
304,Galvanized Iron Sheet,35,0.8357,Tezpur,1850,435099
542,Ceramic Tiles,28,0.8097,Hyderabad,800,326192
588,Tiled Roof,48,0.6987,Ahmedabad,800,301204
595,Galvanized Iron Sheet,6,0.8368,Jaisalmer,210,100476
259,Metal Roofs,40,0.8814,Bengaluru,970,204345
358,Concrete Roof,34,0.6797,Jaipur,650,145347
72,Modern Composite Sheets,9,0.8316,Hisar,500,28533
341,Modern Composite Sheets,23,0.8639,Bengaluru,970,266504
107,Galvanized Iron Sheet,20,0.8493,Tezpur,1850,157154
509,Concrete Roof,41,0.6851,Bhopal,1150,367002
563,Modern Composite Sheets,1,0.8421,Ahmedabad,800,360651
471,Galvanized Iron Sheet,32,0.8474,Hisar,500,185373
131,Concrete Roof,43,0.6064,Sambalpur,1400,102967
372,Lime-Finished Roofs,3,0.6345,Anantapur,560,126090
215,Modern Composite Sheets,11,0.8319,Gorakhpur,1250,212784
464,Stone Slabs,11,0.7219,Ahmedabad,800,256737
590,Galvanized Iron Sheet,42,0.8568,Patna,1200,556383
190,Concrete Roof,41,0.6409,Shillong,2900,325638
156,Lime-Finished Roofs,9,0.6734,Hyderabad,800,79645
459,Asbestos Sheet,36,0.7633,Wardha,1060,342828
434,Asbestos Sheet,13,0.7422,Purnia,1350,411278
446,Tiled Roof,18,0.7143,Purnia,1350,401814
203,Galvanized Iron Sheet,50,0.8813,Bengaluru,970,159462
279,Tiled Roof,35,0.7063,Kolkata,1800,330326
334,Metal Roofs,2,0.8371,Lucknow,1000,269461
87,Stone Slabs,45,0.7118,Kolkata,1800,102741
445,Concrete Roof,37,0.6672,Hyderabad,800,218284
525,Concrete Roof,12,0.6729,Purnia,1350,453745
195,Modern Composite Sheets,12,0.8327,Bathinda,420,65330
546,Modern Composite Sheets,43,0.8123,Sagar,1100,445453
237,Stone Slabs,33,0.7078,Delhi,780,121216
571,Metal Roofs,30,0.8698,Hyderabad,800,368903
398,Lime-Finished Roofs,44,0.6088,Hisar,500,111194
454,Modern Composite Sheets,21,0.8403,Pune,720,260177
117,Stone Slabs,1,0.7037,Gorakhpur,1250,97890
50,Metal Roofs,42,0.87,Lucknow,1000,39605
195,Metal Roofs,4,0.8508,Wardha,1060,168274
115,Terracotta and Clay Tiles,21,0.7898,Bathinda,420,35493
214,Metal Roofs,20,0.8588,Sagar,1100,189416
235,Metal Roofs,11,0.8516,Purnia,1350,254028
553,Modern Composite Sheets,23,0.8606,Bhopal,1150,513871
582,Galvanized Iron Sheet,3,0.8572,Ahmedabad,800,380955
569,Modern Composite Sheets,35,0.8399,Anantapur,560,248502
81,Asbestos Sheet,49,0.7567,Bengaluru,970,53769
472,Terracotta and Clay Tiles,47,0.8008,Hisar,500,173493
144,Metal Roofs,11,0.8632,Tezpur,1850,217403
586,Ceramic Tiles,17,0.8144,Bhopal,1150,522732
336,Stone Slabs,40,0.7066,Delhi,780,169815
238,Terracotta and Clay Tiles,32,0.8144,Anantapur,560,101804
546,Lime-Finished Roofs,45,0.6491,Raichur,620,199892
418,Lime-Finished Roofs,23,0.6644,Chennai,1400,364316
257,Asbestos Sheet,21,0.801,Patna,1200,231463
387,Concrete Roof,3,0.6703,Shillong,2900,724093
535,Terracotta and Clay Tiles,46,0.8234,Bhopal,1150,464204
259,Galvanized Iron Sheet,9,0.8709,Jaisalmer,210,45280
471,Metal Roofs,49,0.8527,Ahmedabad,800,294001
407,Concrete Roof,39,0.6911,Bengaluru,970,253801
446,Galvanized Iron Sheet,49,0.8677,Mumbai,2250,789339
587,Metal Roofs,42,0.8888,Mumbai,2250,1085777
268,Tiled Roof,9,0.702,Sambalpur,1400,252280
483,Terracotta and Clay Tiles,6,0.8486,Bengaluru,970,376164
188,Stone Slabs,23,0.6855,Chennai,1400,170638
538,Terracotta and Clay Tiles,42,0.795,Wardha,1060,414696
487,Galvanized Iron Sheet,45,0.8342,Raichur,620,230142
263,Terracotta and Clay Tiles,36,0.8066,Lucknow,1000,196452
441,Concrete Roof,29,0.6955,Patna,1200,340588
552,Concrete Roof,18,0.6638,Tezpur,1850,639377
54,Terracotta and Clay Tiles,9,0.7883,Wardha,1060,42661
200,Modern Composite Sheets,8,0.823,Shillong,2900,451799
