roof_type,roof_age,region,location,runoff_coefficient
Terracotta and Clay Tiles,7,Rural,Jaisalmer,0.7722
Ceramic Tiles,34,Urban,Ahmedabad,0.8115
Metal Roofs,35,Rural,Hisar,0.817
Tiled Roof,47,Rural,Anantapur,0.707
Terracotta and Clay Tiles,31,Urban,Ahmedabad,0.8163
Terracotta and Clay Tiles,32,Urban,Mumbai,0.8134
Modern Composite Sheets,17,Urban,Bhopal,0.8571
Ceramic Tiles,13,Rural,Purnia,0.7914
Ceramic Tiles,3,Rural,Sambalpur,0.8264
Concrete Roof,11,Rural,Sambalpur,0.6761
Modern Composite Sheets,2,Rural,Shillong,0.831
Tiled Roof,28,Urban,Ahmedabad,0.7301
Galvanized Iron Sheet,47,Rural,Shillong,0.8502
Galvanized Iron Sheet,44,Urban,Lucknow,0.8835
Stone Slabs,42,Rural,Hisar,0.6867
Tiled Roof,15,Rural,Gorakhpur,0.7018
Terracotta and Clay Tiles,26,Rural,Hisar,0.805
Modern Composite Sheets,1,Urban,Jaipur,0.8254
Metal Roofs,6,Rural,Tezpur,0.8488
Stone Slabs,50,Urban,Bhopal,0.7068
Tiled Roof,23,Urban,Patna,0.7047
Concrete Roof,50,Urban,Kolkata,0.6721
Modern Composite Sheets,50,Rural,Shillong,0.8403
Galvanized Iron Sheet,2,Urban,Chennai,0.8983
Ceramic Tiles,48,Urban,Bhopal,0.7884
Asbestos Sheet,47,Rural,Gorakhpur,0.7535
Lime-Finished Roofs,4,Rural,Sambalpur,0.633
Concrete Roof,42,Rural,Sambalpur,0.6286
Tiled Roof,37,Urban,Pune,0.7011
Terracotta and Clay Tiles,7,Urban,Ahmedabad,0.8447
Stone Slabs,37,Urban,Bengaluru,0.7251
Ceramic Tiles,35,Urban,Ahmedabad,0.8129
Tiled Roof,18,Urban,Patna,0.7194
Galvanized Iron Sheet,11,Rural,Raichur,0.8732
Modern Composite Sheets,9,Rural,Raichur,0.8586
Tiled Roof,15,Urban,Bengaluru,0.7378
Lime-Finished Roofs,34,Urban,Delhi,0.6781
Lime-Finished Roofs,47,Urban,Patna,0.6621
Terracotta and Clay Tiles,21,Urban,Chennai,0.8027
Concrete Roof,36,Urban,Kolkata,0.6708
Modern Composite Sheets,2,Urban,Lucknow,0.8235
Asbestos Sheet,26,Urban,Bhopal,0.7435
Terracotta and Clay Tiles,20,Rural,Anantapur,0.7978
Metal Roofs,4,Urban,Chennai,0.8652
Ceramic Tiles,44,Urban,Kolkata,0.8227
Tiled Roof,10,Urban,Patna,0.73
Stone Slabs,30,Rural,Hisar,0.6968
Terracotta and Clay Tiles,14,Rural,Jaisalmer,0.8069
Modern Composite Sheets,5,Urban,Lucknow,0.8575
Stone Slabs,29,Rural,Wardha,0.702
Tiled Roof,40,Urban,Hyderabad,0.7436
Ceramic Tiles,47,Rural,Gorakhpur,0.7647
Asbestos Sheet,26,Urban,Ahmedabad,0.7494
Asbestos Sheet,11,Urban,Kolkata,0.7955
Ceramic Tiles,47,Rural,Purnia,0.7776
Concrete Roof,45,Urban,Jaipur,0.6522
Asbestos Sheet,6,Urban,Lucknow,0.7587
Ceramic Tiles,47,Urban,Delhi,0.8111
Stone Slabs,26,Urban,Bhopal,0.6815
Ceramic Tiles,37,Rural,Anantapur,0.7699
Ceramic Tiles,20,Rural,Jaisalmer,0.8044
Asbestos Sheet,2,Urban,Lucknow,0.7668
Terracotta and Clay Tiles,40,Rural,Bathinda,0.8091
Ceramic Tiles,22,Rural,Anantapur,0.8024
Lime-Finished Roofs,40,Rural,Wardha,0.6599
Modern Composite Sheets,18,Urban,Bhopal,0.8485
Tiled Roof,25,Urban,Bengaluru,0.7395
Modern Composite Sheets,23,Rural,Raichur,0.8307
Modern Composite Sheets,3,Rural,Jaisalmer,0.8275
Stone Slabs,22,Rural,Tezpur,0.6929
Modern Composite Sheets,42,Urban,Hyderabad,0.8508
Stone Slabs,38,Rural,Sambalpur,0.6922
Stone Slabs,22,Rural,Wardha,0.7036
Modern Composite Sheets,50,Urban,Ahmedabad,0.8516
Modern Composite Sheets,15,Urban,Jaipur,0.8575
Asbestos Sheet,26,Rural,Anantapur,0.7445
Stone Slabs,26,Urban,Ahmedabad,0.7101
Stone Slabs,8,Urban,Chennai,0.73
Ceramic Tiles,15,Urban,Kolkata,0.808
Modern Composite Sheets,5,Urban,Hyderabad,0.8343
Ceramic Tiles,10,Rural,Wardha,0.8083
Lime-Finished Roofs,14,Urban,Hyderabad,0.6749
Metal Roofs,2,Rural,Shillong,0.8507
Galvanized Iron Sheet,1,Rural,Anantapur,0.8639
Terracotta and Clay Tiles,42,Rural,Hisar,0.753
Metal Roofs,34,Rural,Anantapur,0.8448
Terracotta and Clay Tiles,41,Rural,Wardha,0.8036
Stone Slabs,26,Urban,Ahmedabad,0.7138
Ceramic Tiles,7,Rural,Wardha,0.818
Modern Composite Sheets,16,Urban,Chennai,0.8429
Modern Composite Sheets,24,Rural,Raichur,0.828
Galvanized Iron Sheet,7,Urban,Lucknow,0.8652
Lime-Finished Roofs,50,Rural,Tezpur,0.65
Modern Composite Sheets,45,Urban,Pune,0.8427
Galvanized Iron Sheet,50,Urban,Mumbai,0.8743
Concrete Roof,22,Urban,Jaipur,0.6751
Metal Roofs,20,Urban,Delhi,0.8369
Ceramic Tiles,18,Rural,Shillong,0.7928
Terracotta and Clay Tiles,2,Urban,Hyderabad,0.8165
Tiled Roof,41,Urban,Hyderabad,0.7153
Tiled Roof,32,Rural,Sagar,0.6957
Tiled Roof,8,Urban,Mumbai,0.7447
Metal Roofs,49,Urban,Kolkata,0.8536
Galvanized Iron Sheet,12,Urban,Jaipur,0.8899
Lime-Finished Roofs,29,Rural,Gorakhpur,0.621
Tiled Roof,48,Rural,Hisar,0.6863
Terracotta and Clay Tiles,21,Rural,Sambalpur,0.7821
Terracotta and Clay Tiles,47,Urban,Pune,0.811
Asbestos Sheet,33,Urban,Ahmedabad,0.7588
Concrete Roof,39,Urban,Pune,0.6632
Ceramic Tiles,8,Rural,Sagar,0.7792
Lime-Finished Roofs,14,Urban,Bengaluru,0.67
Asbestos Sheet,20,Rural,Wardha,0.7242
Ceramic Tiles,4,Urban,Pune,0.8336
Asbestos Sheet,22,Urban,Pune,0.7431
Asbestos Sheet,42,Rural,Purnia,0.7214
Galvanized Iron Sheet,37,Urban,Delhi,0.8611
Ceramic Tiles,46,Urban,Ahmedabad,0.8273
Ceramic Tiles,13,Urban,Jaipur,0.8126
Lime-Finished Roofs,6,Rural,Gorakhpur,0.6482
Tiled Roof,19,Urban,Jaipur,0.7272
Tiled Roof,33,Urban,Lucknow,0.7182
Terracotta and Clay Tiles,21,Urban,Hyderabad,0.8283
Terracotta and Clay Tiles,21,Rural,Hisar,0.8109
Stone Slabs,12,Rural,Gorakhpur,0.6922
Lime-Finished Roofs,21,Rural,Wardha,0.6506
Galvanized Iron Sheet,23,Urban,Lucknow,0.8239
Asbestos Sheet,20,Urban,Ahmedabad,0.7465
Tiled Roof,45,Rural,Sagar,0.6808
Ceramic Tiles,6,Urban,Jaipur,0.8038
Ceramic Tiles,26,Urban,Ahmedabad,0.823
Metal Roofs,28,Urban,Pune,0.8331
Concrete Roof,21,Rural,Bathinda,0.6284
Concrete Roof,44,Rural,Sambalpur,0.6286
Metal Roofs,10,Urban,Patna,0.865
Ceramic Tiles,19,Urban,Jaipur,0.8337
Asbestos Sheet,25,Rural,Raichur,0.7336
Galvanized Iron Sheet,21,Urban,Kolkata,0.8468
Modern Composite Sheets,6,Urban,Ahmedabad,0.8639
Lime-Finished Roofs,11,Rural,Hisar,0.6408
Metal Roofs,22,Rural,Tezpur,0.8275
Metal Roofs,14,Urban,Jaipur,0.8696
Asbestos Sheet,17,Rural,Hisar,0.763
Terracotta and Clay Tiles,39,Rural,Tezpur,0.7953
Concrete Roof,21,Urban,Kolkata,0.6525
Lime-Finished Roofs,9,Urban,Delhi,0.65
Tiled Roof,47,Urban,Mumbai,0.6776
Lime-Finished Roofs,20,Urban,Chennai,0.6773
Galvanized Iron Sheet,40,Urban,Mumbai,0.8571
Metal Roofs,26,Urban,Hyderabad,0.8666
Modern Composite Sheets,21,Urban,Bhopal,0.8413
Ceramic Tiles,3,Rural,Tezpur,0.7902
Galvanized Iron Sheet,10,Urban,Chennai,0.859
Stone Slabs,40,Rural,Anantapur,0.7142
Galvanized Iron Sheet,9,Rural,Purnia,0.8683
Terracotta and Clay Tiles,23,Urban,Bhopal,0.8121
Lime-Finished Roofs,33,Urban,Delhi,0.6889
Concrete Roof,46,Urban,Jaipur,0.6729
Terracotta and Clay Tiles,48,Urban,Hyderabad,0.7854
Modern Composite Sheets,29,Rural,Hisar,0.8057
Ceramic Tiles,37,Rural,Hisar,0.8052
Concrete Roof,50,Rural,Raichur,0.6164
Tiled Roof,32,Urban,Delhi,0.7079
Metal Roofs,27,Rural,Shillong,0.8267
Metal Roofs,38,Rural,Jaisalmer,0.8332
Ceramic Tiles,19,Urban,Pune,0.8394
Modern Composite Sheets,32,Rural,Purnia,0.827
Asbestos Sheet,14,Urban,Mumbai,0.7895
Stone Slabs,2,Rural,Jaisalmer,0.6906
Metal Roofs,25,Rural,Tezpur,0.827
Ceramic Tiles,25,Urban,Lucknow,0.8264
Concrete Roof,43,Urban,Hyderabad,0.6549
Modern Composite Sheets,15,Urban,Ahmedabad,0.8506
Tiled Roof,1,Rural,Wardha,0.7102
Galvanized Iron Sheet,6,Rural,Sambalpur,0.8275
Stone Slabs,29,Rural,Anantapur,0.6864
Stone Slabs,9,Urban,Hyderabad,0.7112
Lime-Finished Roofs,14,Rural,Raichur,0.6573
Galvanized Iron Sheet,30,Urban,Jaipur,0.872
Tiled Roof,24,Rural,Purnia,0.7091
Ceramic Tiles,28,Rural,Wardha,0.7949
Tiled Roof,26,Rural,Sambalpur,0.6625
Modern Composite Sheets,8,Urban,Bhopal,0.8334
Galvanized Iron Sheet,19,Rural,Shillong,0.8503
Modern Composite Sheets,38,Urban,Jaipur,0.8284
Concrete Roof,44,Urban,Lucknow,0.6325
Tiled Roof,7,Rural,Shillong,0.6921
Ceramic Tiles,43,Rural,Raichur,0.7757
Stone Slabs,16,Rural,Hisar,0.7137
Metal Roofs,3,Rural,Wardha,0.8372
Modern Composite Sheets,40,Rural,Sambalpur,0.8285
Galvanized Iron Sheet,26,Urban,Mumbai,0.877
Stone Slabs,24,Urban,Hyderabad,0.7054
Metal Roofs,5,Urban,Hyderabad,0.858
Modern Composite Sheets,16,Rural,Gorakhpur,0.8064
Terracotta and Clay Tiles,17,Urban,Chennai,0.8006
Concrete Roof,33,Rural,Sambalpur,0.6616
Galvanized Iron Sheet,22,Rural,Raichur,0.8575
Lime-Finished Roofs,22,Urban,Chennai,0.6834
Stone Slabs,42,Urban,Jaipur,0.6975
Galvanized Iron Sheet,44,Rural,Anantapur,0.8688
Metal Roofs,20,Urban,Bhopal,0.8808
Ceramic Tiles,36,Rural,Raichur,0.7967
Ceramic Tiles,47,Rural,Tezpur,0.7679
Concrete Roof,38,Urban,Jaipur,0.6592
Terracotta and Clay Tiles,13,Rural,Hisar,0.7911
Stone Slabs,4,Rural,Wardha,0.7056
Stone Slabs,35,Urban,Pune,0.739
Galvanized Iron Sheet,33,Rural,Purnia,0.8242
Concrete Roof,46,Rural,Anantapur,0.6352
Lime-Finished Roofs,40,Rural,Hisar,0.6626
Metal Roofs,44,Rural,Purnia,0.8365
Metal Roofs,8,Urban,Bhopal,0.88
Concrete Roof,26,Urban,Delhi,0.6847
Asbestos Sheet,4,Rural,Bathinda,0.7584
Concrete Roof,24,Urban,Chennai,0.6872
Ceramic Tiles,30,Urban,Jaipur,0.8192
Asbestos Sheet,10,Rural,Gorakhpur,0.7439
Modern Composite Sheets,29,Rural,Raichur,0.8034
Lime-Finished Roofs,45,Rural,Raichur,0.6467
Terracotta and Clay Tiles,3,Urban,Jaipur,0.8153
Lime-Finished Roofs,41,Urban,Bhopal,0.6651
Asbestos Sheet,30,Rural,Wardha,0.7649
Stone Slabs,26,Urban,Hyderabad,0.7203
Asbestos Sheet,9,Urban,Pune,0.776
Lime-Finished Roofs,21,Urban,Patna,0.6889
Terracotta and Clay Tiles,5,Rural,Purnia,0.7851
Ceramic Tiles,20,Rural,Raichur,0.7784
Modern Composite Sheets,43,Urban,Lucknow,0.8069
Concrete Roof,7,Rural,Bathinda,0.6403
Modern Composite Sheets,19,Urban,Hyderabad,0.8258
Modern Composite Sheets,24,Rural,Bathinda,0.8395
Tiled Roof,15,Urban,Patna,0.7082
Terracotta and Clay Tiles,16,Urban,Mumbai,0.8061
Terracotta and Clay Tiles,29,Urban,Bhopal,0.7984
Asbestos Sheet,12,Rural,Gorakhpur,0.7587
Lime-Finished Roofs,34,Urban,Chennai,0.6881
Galvanized Iron Sheet,50,Urban,Kolkata,0.8627
Tiled Roof,30,Urban,Kolkata,0.7035
Galvanized Iron Sheet,10,Rural,Sambalpur,0.8501
Lime-Finished Roofs,22,Rural,Wardha,0.6538
Concrete Roof,7,Rural,Shillong,0.6439
Asbestos Sheet,34,Rural,Sambalpur,0.7584
Terracotta and Clay Tiles,30,Urban,Chennai,0.7784
Ceramic Tiles,35,Urban,Ahmedabad,0.8127
Ceramic Tiles,1,Rural,Tezpur,0.7994
Ceramic Tiles,30,Urban,Bhopal,0.7999
Modern Composite Sheets,12,Rural,Jaisalmer,0.8392
Lime-Finished Roofs,13,Rural,Jaisalmer,0.6541
Terracotta and Clay Tiles,40,Urban,Ahmedabad,0.8287
Concrete Roof,3,Rural,Wardha,0.6558
Modern Composite Sheets,8,Rural,Sambalpur,0.8288
Terracotta and Clay Tiles,47,Urban,Mumbai,0.8172
Concrete Roof,12,Rural,Hisar,0.6676
Stone Slabs,43,Urban,Pune,0.7255
Concrete Roof,45,Rural,Sagar,0.6488
Stone Slabs,35,Urban,Jaipur,0.713
Modern Composite Sheets,32,Urban,Chennai,0.8496
Tiled Roof,44,Rural,Sagar,0.7154
Asbestos Sheet,15,Rural,Purnia,0.7481
Metal Roofs,50,Rural,Bathinda,0.8331
Terracotta and Clay Tiles,47,Rural,Bathinda,0.7873
Stone Slabs,37,Rural,Sagar,0.7066
Asbestos Sheet,35,Rural,Wardha,0.7467
Metal Roofs,21,Urban,Delhi,0.9214
Modern Composite Sheets,29,Rural,Sagar,0.8252
Concrete Roof,6,Rural,Gorakhpur,0.6384
Metal Roofs,23,Rural,Sambalpur,0.85
Terracotta and Clay Tiles,24,Urban,Bhopal,0.8062
Modern Composite Sheets,15,Urban,Hyderabad,0.8511
Ceramic Tiles,23,Rural,Sambalpur,0.8125
Ceramic Tiles,13,Urban,Pune,0.814
Stone Slabs,37,Urban,Pune,0.7177
Terracotta and Clay Tiles,8,Rural,Bathinda,0.7687
Modern Composite Sheets,34,Rural,Bathinda,0.808
Galvanized Iron Sheet,49,Rural,Purnia,0.8535
Lime-Finished Roofs,31,Urban,Bengaluru,0.6449
Asbestos Sheet,37,Rural,Tezpur,0.7513
Modern Composite Sheets,13,Rural,Shillong,0.8376
Ceramic Tiles,47,Rural,Hisar,0.7961
Stone Slabs,3,Urban,Lucknow,0.7403
Modern Composite Sheets,27,Rural,Anantapur,0.8345
Tiled Roof,38,Urban,Patna,0.7131
Asbestos Sheet,30,Urban,Jaipur,0.7733
Metal Roofs,18,Rural,Anantapur,0.8251
Terracotta and Clay Tiles,5,Rural,Hisar,0.788
Ceramic Tiles,49,Rural,Tezpur,0.7842
Galvanized Iron Sheet,48,Rural,Sagar,0.8339
Terracotta and Clay Tiles,18,Urban,Kolkata,0.8216
Modern Composite Sheets,1,Rural,Purnia,0.8152
Metal Roofs,50,Urban,Bhopal,0.8599
Lime-Finished Roofs,22,Urban,Kolkata,0.6612
Terracotta and Clay Tiles,37,Urban,Patna,0.8131
Lime-Finished Roofs,14,Rural,Wardha,0.6424
Tiled Roof,50,Urban,Bhopal,0.7085
Modern Composite Sheets,23,Rural,Sambalpur,0.8231
Metal Roofs,32,Urban,Bengaluru,0.854
Galvanized Iron Sheet,18,Rural,Anantapur,0.8621
Ceramic Tiles,39,Rural,Jaisalmer,0.7853
Galvanized Iron Sheet,26,Urban,Bengaluru,0.844
Ceramic Tiles,7,Urban,Hyderabad,0.8236
Asbestos Sheet,11,Urban,Kolkata,0.7947
Stone Slabs,14,Urban,Pune,0.7224
Ceramic Tiles,10,Urban,Lucknow,0.7988
Ceramic Tiles,48,Rural,Gorakhpur,0.7976
Asbestos Sheet,8,Urban,Patna,0.7475
Concrete Roof,20,Rural,Bathinda,0.6576
Terracotta and Clay Tiles,46,Urban,Bengaluru,0.8334
Asbestos Sheet,44,Urban,Hyderabad,0.7456
Lime-Finished Roofs,25,Urban,Mumbai,0.6706
Stone Slabs,20,Urban,Bhopal,0.7091
Metal Roofs,20,Urban,Jaipur,0.8699
Lime-Finished Roofs,16,Urban,Mumbai,0.6479
Metal Roofs,27,Urban,Jaipur,0.8552
Lime-Finished Roofs,40,Urban,Chennai,0.6639
Concrete Roof,39,Rural,Hisar,0.6285
Asbestos Sheet,46,Urban,Chennai,0.7425
Galvanized Iron Sheet,42,Urban,Lucknow,0.8787
Tiled Roof,11,Urban,Delhi,0.7239
Ceramic Tiles,38,Urban,Pune,0.7941
Concrete Roof,12,Rural,Raichur,0.6575
Tiled Roof,11,Urban,Mumbai,0.7113
Terracotta and Clay Tiles,10,Urban,Bengaluru,0.8278
Tiled Roof,33,Urban,Bengaluru,0.7133
Galvanized Iron Sheet,15,Rural,Sambalpur,0.846
Asbestos Sheet,10,Urban,Ahmedabad,0.7442
Lime-Finished Roofs,8,Urban,Jaipur,0.6909
Terracotta and Clay Tiles,36,Urban,Bhopal,0.8296
Lime-Finished Roofs,14,Rural,Wardha,0.6818
Galvanized Iron Sheet,19,Rural,Purnia,0.8362
Modern Composite Sheets,48,Rural,Sambalpur,0.8179
Galvanized Iron Sheet,16,Rural,Tezpur,0.856
Terracotta and Clay Tiles,39,Rural,Hisar,0.7929
Modern Composite Sheets,36,Urban,Pune,0.8323
Modern Composite Sheets,26,Rural,Sagar,0.8427
Stone Slabs,19,Urban,Kolkata,0.7011
Asbestos Sheet,13,Rural,Sagar,0.7543
Stone Slabs,20,Rural,Hisar,0.6927
Concrete Roof,6,Urban,Mumbai,0.6637
Tiled Roof,34,Urban,Mumbai,0.7101
Asbestos Sheet,16,Rural,Wardha,0.7202
Lime-Finished Roofs,12,Urban,Mumbai,0.6641
Tiled Roof,1,Urban,Jaipur,0.7378
Lime-Finished Roofs,42,Urban,Jaipur,0.6587
Galvanized Iron Sheet,13,Urban,Lucknow,0.8597
Metal Roofs,10,Urban,Lucknow,0.8682
Asbestos Sheet,46,Urban,Ahmedabad,0.7609
Asbestos Sheet,36,Urban,Hyderabad,0.7599
Tiled Roof,13,Urban,Jaipur,0.7446
Terracotta and Clay Tiles,32,Rural,Gorakhpur,0.7926
Metal Roofs,37,Rural,Bathinda,0.8258
Lime-Finished Roofs,9,Urban,Pune,0.6404
Stone Slabs,29,Urban,Patna,0.7124
Stone Slabs,7,Rural,Wardha,0.6879
Modern Composite Sheets,15,Urban,Patna,0.824
Tiled Roof,29,Urban,Mumbai,0.6936
Stone Slabs,42,Rural,Tezpur,0.6893
Stone Slabs,42,Rural,Sambalpur,0.7163
Modern Composite Sheets,38,Rural,Sagar,0.8231
Galvanized Iron Sheet,21,Urban,Kolkata,0.8589
Metal Roofs,48,Urban,Bhopal,0.8922
Modern Composite Sheets,13,Urban,Kolkata,0.8592
Concrete Roof,9,Urban,Kolkata,0.6906
Terracotta and Clay Tiles,9,Rural,Purnia,0.7921
Concrete Roof,42,Urban,Chennai,0.6827
Stone Slabs,46,Rural,Jaisalmer,0.7077
Concrete Roof,27,Urban,Pune,0.6577
Concrete Roof,14,Rural,Raichur,0.6371
Stone Slabs,15,Urban,Patna,0.7273
Ceramic Tiles,17,Urban,Mumbai,0.8155
Stone Slabs,47,Urban,Jaipur,0.7193
Asbestos Sheet,29,Urban,Delhi,0.772
Asbestos Sheet,21,Rural,Sambalpur,0.761
Tiled Roof,48,Urban,Delhi,0.6963
Asbestos Sheet,43,Urban,Chennai,0.7823
Concrete Roof,50,Rural,Hisar,0.6421
Ceramic Tiles,4,Urban,Pune,0.825
Asbestos Sheet,31,Urban,Bengaluru,0.7454
Stone Slabs,16,Rural,Hisar,0.6777
Concrete Roof,7,Rural,Wardha,0.6477
Ceramic Tiles,8,Urban,Pune,0.7979
Asbestos Sheet,1,Rural,Wardha,0.7409
Concrete Roof,11,Rural,Shillong,0.6389
Tiled Roof,50,Urban,Pune,0.7029
Asbestos Sheet,35,Urban,Kolkata,0.7649
Concrete Roof,36,Urban,Delhi,0.6637
Modern Composite Sheets,39,Rural,Purnia,0.8175
Terracotta and Clay Tiles,42,Rural,Sambalpur,0.7961
Terracotta and Clay Tiles,16,Rural,Sagar,0.7877
Galvanized Iron Sheet,18,Rural,Wardha,0.8285
Galvanized Iron Sheet,20,Urban,Ahmedabad,0.8675
Terracotta and Clay Tiles,2,Rural,Purnia,0.7966
Concrete Roof,11,Rural,Jaisalmer,0.6665
Stone Slabs,5,Rural,Raichur,0.6828
Tiled Roof,9,Rural,Hisar,0.7057
Terracotta and Clay Tiles,6,Rural,Bathinda,0.8178
Tiled Roof,8,Rural,Purnia,0.688
Concrete Roof,32,Urban,Kolkata,0.6653
Modern Composite Sheets,37,Rural,Hisar,0.7883
Ceramic Tiles,47,Urban,Bengaluru,0.8079
Lime-Finished Roofs,40,Rural,Purnia,0.6301
Terracotta and Clay Tiles,15,Rural,Sagar,0.8183
Asbestos Sheet,1,Urban,Chennai,0.7547
Modern Composite Sheets,29,Urban,Lucknow,0.8586
Lime-Finished Roofs,14,Rural,Bathinda,0.65
Galvanized Iron Sheet,41,Urban,Bengaluru,0.8627
Metal Roofs,50,Urban,Jaipur,0.8581
Galvanized Iron Sheet,49,Urban,Kolkata,0.8591
Terracotta and Clay Tiles,44,Rural,Purnia,0.7996
Galvanized Iron Sheet,7,Rural,Shillong,0.8496
Concrete Roof,14,Rural,Sagar,0.6326
Stone Slabs,33,Rural,Hisar,0.6982
Ceramic Tiles,29,Urban,Patna,0.8163
Modern Composite Sheets,36,Urban,Patna,0.8374
Tiled Roof,2,Urban,Bhopal,0.7469
Stone Slabs,39,Urban,Hyderabad,0.7141
Tiled Roof,10,Urban,Delhi,0.7116
Modern Composite Sheets,43,Urban,Patna,0.8722
Lime-Finished Roofs,29,Rural,Bathinda,0.6543
Metal Roofs,34,Urban,Kolkata,0.8728
Concrete Roof,21,Rural,Wardha,0.6672
Stone Slabs,37,Urban,Bengaluru,0.7014
Concrete Roof,2,Rural,Hisar,0.6386
Asbestos Sheet,1,Rural,Wardha,0.7505
Tiled Roof,44,Rural,Hisar,0.711
Concrete Roof,29,Rural,Purnia,0.6341
Ceramic Tiles,40,Urban,Bengaluru,0.8285
Concrete Roof,3,Rural,Hisar,0.6391
Terracotta and Clay Tiles,20,Urban,Jaipur,0.8401
Terracotta and Clay Tiles,7,Urban,Mumbai,0.8124
Asbestos Sheet,28,Rural,Sagar,0.7499
Ceramic Tiles,44,Urban,Jaipur,0.8245
Modern Composite Sheets,21,Rural,Wardha,0.8084
Terracotta and Clay Tiles,13,Urban,Mumbai,0.8216
Lime-Finished Roofs,46,Rural,Purnia,0.6215
Terracotta and Clay Tiles,12,Urban,Ahmedabad,0.8158
Modern Composite Sheets,37,Rural,Bathinda,0.8184
Asbestos Sheet,32,Rural,Purnia,0.7302
Ceramic Tiles,39,Urban,Ahmedabad,0.8082
Tiled Roof,16,Rural,Tezpur,0.7035
Terracotta and Clay Tiles,24,Urban,Pune,0.8317
Terracotta and Clay Tiles,45,Rural,Hisar,0.8012
Ceramic Tiles,30,Urban,Patna,0.844
Galvanized Iron Sheet,10,Rural,Tezpur,0.8711
Lime-Finished Roofs,1,Urban,Jaipur,0.6734
Ceramic Tiles,30,Rural,Jaisalmer,0.7602
Lime-Finished Roofs,28,Rural,Wardha,0.6266
Metal Roofs,31,Urban,Pune,0.8657
Metal Roofs,16,Urban,Jaipur,0.8724
Asbestos Sheet,32,Rural,Jaisalmer,0.7456
Galvanized Iron Sheet,40,Urban,Patna,0.8577
Stone Slabs,3,Rural,Jaisalmer,0.6961
Stone Slabs,3,Urban,Jaipur,0.7218
Stone Slabs,40,Urban,Kolkata,0.7153
Galvanized Iron Sheet,7,Urban,Mumbai,0.8655
Metal Roofs,32,Urban,Hyderabad,0.8724
Modern Composite Sheets,48,Rural,Sagar,0.804
Ceramic Tiles,44,Urban,Delhi,0.8172
Tiled Roof,36,Urban,Ahmedabad,0.6998
Tiled Roof,29,Urban,Bengaluru,0.726
Concrete Roof,47,Urban,Kolkata,0.6616
Terracotta and Clay Tiles,18,Rural,Bathinda,0.7977
Metal Roofs,16,Rural,Hisar,0.846
Ceramic Tiles,1,Rural,Tezpur,0.7787
Concrete Roof,49,Urban,Jaipur,0.6368
Concrete Roof,48,Rural,Gorakhpur,0.6392
Metal Roofs,7,Rural,Purnia,0.848
Terracotta and Clay Tiles,17,Urban,Pune,0.8222
Terracotta and Clay Tiles,1,Urban,Hyderabad,0.834
Terracotta and Clay Tiles,15,Rural,Anantapur,0.7979
Asbestos Sheet,40,Urban,Mumbai,0.7644
Stone Slabs,13,Rural,Sagar,0.6921
Terracotta and Clay Tiles,18,Rural,Raichur,0.7782
Lime-Finished Roofs,23,Rural,Anantapur,0.6654
Tiled Roof,28,Urban,Pune,0.732
Modern Composite Sheets,8,Urban,Hyderabad,0.8284
Asbestos Sheet,7,Urban,Delhi,0.7787
Tiled Roof,4,Urban,Jaipur,0.7264
Terracotta and Clay Tiles,21,Rural,Purnia,0.7759
Asbestos Sheet,39,Urban,Kolkata,0.7555
Galvanized Iron Sheet,37,Urban,Hyderabad,0.9015
Lime-Finished Roofs,50,Urban,Pune,0.6706
Terracotta and Clay Tiles,50,Rural,Purnia,0.7833
Asbestos Sheet,14,Urban,Bhopal,0.7499
Stone Slabs,1,Urban,Delhi,0.7103
Stone Slabs,3,Urban,Delhi,0.719
Ceramic Tiles,3,Urban,Patna,0.7964
Stone Slabs,23,Rural,Jaisalmer,0.6844
Ceramic Tiles,3,Urban,Ahmedabad,0.8643
Modern Composite Sheets,41,Urban,Patna,0.8722
Concrete Roof,18,Urban,Hyderabad,0.6688
Terracotta and Clay Tiles,33,Urban,Bengaluru,0.8178
Concrete Roof,19,Urban,Hyderabad,0.7108
Lime-Finished Roofs,17,Rural,Purnia,0.6293
Stone Slabs,33,Urban,Mumbai,0.7357
Asbestos Sheet,48,Rural,Bathinda,0.74
Stone Slabs,49,Rural,Purnia,0.6577
Stone Slabs,28,Rural,Tezpur,0.6677
Asbestos Sheet,19,Rural,Hisar,0.746
Stone Slabs,43,Urban,Mumbai,0.7072
Stone Slabs,44,Urban,Patna,0.7278
Metal Roofs,34,Urban,Jaipur,0.8698
Galvanized Iron Sheet,16,Urban,Pune,0.8676
Ceramic Tiles,22,Urban,Jaipur,0.8136
Galvanized Iron Sheet,45,Urban,Ahmedabad,0.8472
Modern Composite Sheets,2,Rural,Jaisalmer,0.8303
Modern Composite Sheets,48,Urban,Bhopal,0.8413
Concrete Roof,46,Urban,Jaipur,0.6627
Ceramic Tiles,33,Rural,Hisar,0.7813
Terracotta and Clay Tiles,28,Urban,Delhi,0.8298
Concrete Roof,28,Rural,Gorakhpur,0.6326
Asbestos Sheet,38,Rural,Hisar,0.7579
Metal Roofs,42,Urban,Bhopal,0.8496
Tiled Roof,43,Urban,Mumbai,0.7154
Terracotta and Clay Tiles,3,Urban,Chennai,0.8154
Metal Roofs,50,Urban,Lucknow,0.8673
Ceramic Tiles,50,Urban,Lucknow,0.8052
Lime-Finished Roofs,11,Rural,Tezpur,0.6619
